	FacilityID	StatusDate	Birthday	FRN	PDCensusReceivedDate	qIntStrt	qIntEnd	QuestionnaireGenerationDate	QuestionnaireSentDate	QuestionnaireDueDate	DOPPSTarget	PDCensusDateUsedForDOPPSTarget	PAFGenerationDate	FRNSelectionDate	PDCensusFRNSize	PDCensusDateUsedForPay	country	LDOExtract
41	118009.0	2016-04-14	2016-09-24	3.0	2017-09-24	2017-05-25	2017-09-24	2017-09-25	2017-09-25	2018-01-25	30.0	2017-09-24	2017-09-25		598.0	2017-09-24	b'Thailand'	b'N/A'
42	118010.0	2016-04-14	2016-10-01	0.0	2016-10-01	2016-06-02	2016-10-01	2016-10-01	2016-10-01	2017-02-01	30.0	2016-10-01	2016-10-01		332.0	2016-10-01	b'Thailand'	b'N/A'
43	118010.0	2016-04-14	2016-10-01	1.0	2017-02-01	2016-10-02	2017-02-01	2017-02-03	2017-02-03	2017-06-03	30.0	2017-02-01	2017-02-03		373.0	2017-02-01	b'Thailand'	b'N/A'
44	118010.0	2016-04-14	2016-10-01	2.0	2017-06-01	2017-02-02	2017-06-01	2017-06-05	2017-06-05	2017-10-05	30.0	2017-06-01	2017-06-05		336.0	2017-06-01	b'Thailand'	b'N/A'
45	118010.0	2016-04-14	2016-10-01	3.0	2017-10-01	2017-06-02	2017-10-01	2017-10-02	2017-10-02	2018-02-02	30.0	2017-10-01	2017-10-02		360.0	2017-10-01	b'Thailand'	b'N/A'
46	118011.0	2016-04-14	2016-09-12	0.0	2016-09-12	2016-05-13	2016-09-12	2016-09-12	2016-09-12	2017-01-12	30.0	2016-09-12	2016-09-12		161.0	2016-09-12	b'Thailand'	b'N/A'
47	118011.0	2016-04-14	2016-09-12	1.0	2017-01-12	2016-09-13	2017-01-12	2017-01-31	2017-01-31	2017-05-31	30.0	2017-01-12	2017-01-31		163.0	2017-01-12	b'Thailand'	b'N/A'
48	118011.0	2016-04-14	2016-09-12	2.0	2017-05-12	2017-01-13	2017-05-12	2017-05-14	2017-05-14	2017-09-14	30.0	2017-05-12	2017-05-14		174.0	2017-05-12	b'Thailand'	b'N/A'
49	118011.0	2016-04-14	2016-09-12	3.0	2017-09-12	2017-05-13	2017-09-12	2017-09-12	2017-09-12	2018-01-12	26.0	2017-09-12	2017-09-12		177.0	2017-09-12	b'Thailand'	b'N/A'
50	118012.0	2016-04-14	2016-10-01	0.0	2016-10-01	2016-06-02	2016-10-01	2016-10-01	2016-10-01	2017-02-01	30.0	2016-10-01	2016-10-01		89.0	2016-10-01	b'Thailand'	b'N/A'
51	118012.0	2016-04-14	2016-10-01	1.0	2017-02-01	2016-10-02	2017-02-01	2017-02-01	2017-02-01	2017-06-01	30.0	2017-02-01	2017-02-01		92.0	2017-02-01	b'Thailand'	b'N/A'
52	118012.0	2016-04-14	2016-10-01	2.0	2017-06-01	2017-02-02	2017-06-01	2017-06-04	2017-06-04	2017-10-04	30.0	2017-06-01	2017-06-04		99.0	2017-06-01	b'Thailand'	b'N/A'
53	118012.0	2016-04-14	2016-10-01	3.0	2017-10-01	2017-06-02	2017-10-01	2017-10-02	2017-10-02	2018-02-02	24.0	2017-10-01	2017-10-02		104.0	2017-10-01	b'Thailand'	b'N/A'
54	118013.0	2016-04-14	2016-11-01	0.0	2016-11-01	2016-07-02	2016-11-01	2016-11-01	2016-11-01	2017-03-01	30.0	2016-11-01	2016-11-01		209.0	2016-11-01	b'Thailand'	b'N/A'
55	118013.0	2016-04-14	2016-11-01	1.0	2017-03-01	2016-11-02	2017-03-01	2017-03-06	2017-03-06	2017-07-06	30.0	2017-03-01	2017-03-06		216.0	2017-03-01	b'Thailand'	b'N/A'
56	118013.0	2016-04-14	2016-11-01	2.0	2017-07-01	2017-03-02	2017-07-01	2017-07-03	2017-07-03	2017-11-03	30.0	2017-07-01	2017-07-03		209.0	2017-07-01	b'Thailand'	b'N/A'
57	118013.0	2016-04-14	2016-11-01	3.0	2017-11-01	2017-07-02	2017-11-01	2017-11-01	2017-11-01	2018-03-01	28.0	2017-11-01	2017-11-01		206.0	2017-11-01	b'Thailand'	b'N/A'
58	118014.0	2016-04-14	2016-09-30	0.0	2016-09-30	2016-05-31	2016-09-30	2016-09-30	2016-09-30	2017-01-30	30.0	2016-09-30	2016-09-30		209.0	2016-09-30	b'Thailand'	b'N/A'
59	118014.0	2016-04-14	2016-09-30	1.0	2017-01-30	2016-10-01	2017-01-30	2017-01-31	2017-01-31	2017-05-31	30.0	2017-01-30	2017-01-31		211.0	2017-01-30	b'Thailand'	b'N/A'
60	118014.0	2016-04-14	2016-09-30	2.0	2017-05-30	2017-01-31	2017-05-30	2017-05-30	2017-05-30	2017-09-30	30.0	2017-05-30	2017-05-30		217.0	2017-05-30	b'Thailand'	b'N/A'
61	118014.0	2016-04-14	2016-09-30	3.0	2017-09-30	2017-05-31	2017-09-30	2017-10-02	2017-10-02	2018-02-02	28.0	2017-09-30	2017-10-02		216.0	2017-09-30	b'Thailand'	b'N/A'
62	118015.0	2016-04-14	2016-10-01	0.0	2016-10-01	2016-06-02	2016-10-01	2016-10-01	2016-10-01	2017-02-01	30.0	2016-10-01	2016-10-01		65.0	2016-10-01	b'Thailand'	b'N/A'
63	118015.0	2016-04-14	2016-10-01	1.0	2017-02-02	2016-10-02	2017-02-01	2017-02-02	2017-02-02	2017-06-02	30.0	2017-02-02	2017-02-02		69.0	2017-02-02	b'Thailand'	b'N/A'
64	118015.0	2016-04-14	2016-10-01	2.0	2017-06-02	2017-02-02	2017-06-01	2017-06-02	2017-06-02	2017-10-02	30.0	2017-06-02	2017-06-02		78.0	2017-06-02	b'Thailand'	b'N/A'
65	118015.0	2016-04-14	2016-10-01	3.0	2017-10-01	2017-06-02	2017-10-01	2017-10-01	2017-10-01	2018-02-01	23.0	2017-10-01	2017-10-01		73.0	2017-10-01	b'Thailand'	b'N/A'
66	118016.0	2016-04-14	2016-10-01	0.0	2016-10-01	2016-06-02	2016-10-01	2016-10-01	2016-10-01	2017-02-01	25.0	2016-10-01	2016-10-01		26.0	2016-10-01	b'Thailand'	b'N/A'
67	118016.0	2016-04-14	2016-10-01	1.0	2017-02-01	2016-10-02	2017-02-01	2017-02-06	2017-02-06	2017-06-06	22.0	2017-02-01	2017-02-06		22.0	2017-02-01	b'Thailand'	b'N/A'
68	118016.0	2016-04-14	2016-10-01	2.0	2017-06-01	2017-02-02	2017-06-01	2017-06-01	2017-06-01	2017-10-01	19.0	2017-06-01	2017-06-01		19.0	2017-06-01	b'Thailand'	b'N/A'
69	118016.0	2016-04-14	2016-10-01	3.0	2017-10-01	2017-06-02	2017-10-01	2017-10-02	2017-10-02	2018-02-02	17.0	2017-10-01	2017-10-02		17.0	2017-10-01	b'Thailand'	b'N/A'
70	118017.0	2016-04-14	2016-09-30	0.0	2016-09-30	2016-05-31	2016-09-30	2016-09-30	2016-09-30	2017-01-30	30.0	2016-09-30	2016-09-30		63.0	2016-09-30	b'Thailand'	b'N/A'
71	118017.0	2016-04-14	2016-09-30	1.0	2017-01-30	2016-10-01	2017-01-30	2017-01-09	2017-01-30	2017-05-30	30.0	2017-01-09	2017-01-30		63.0	2017-01-09	b'Thailand'	b'N/A'
72	118017.0	2016-04-14	2016-09-30	2.0	2017-05-23	2017-01-31	2017-05-30	2017-05-23	2017-05-30	2017-09-30	30.0	2017-05-23	2017-05-30		73.0	2017-05-23	b'Thailand'	b'N/A'
73	118017.0	2016-04-14	2016-09-30	3.0	2017-09-30	2017-05-31	2017-09-30	2017-09-30	2017-09-30	2018-01-30	23.0	2017-09-30	2017-09-30		69.0	2017-09-30	b'Thailand'	b'N/A'
74	118018.0	2016-04-14	2016-10-21	0.0	2016-10-21	2016-06-22	2016-10-21	2016-10-21	2016-10-21	2017-02-21	30.0	2016-10-21	2016-10-21		68.0	2016-10-21	b'Thailand'	b'N/A'
75	118018.0	2016-04-14	2016-10-21	1.0	2017-02-21	2016-10-22	2017-02-21	2017-02-21	2017-02-21	2017-06-21	30.0	2017-02-21	2017-02-21		57.0	2017-02-21	b'Thailand'	b'N/A'
76	118018.0	2016-04-14	2016-10-21	2.0	2017-06-21	2017-02-22	2017-06-21	2017-06-22	2017-06-22	2017-10-22	30.0	2017-06-21	2017-06-22		60.0	2017-06-21	b'Thailand'	b'N/A'
77	118018.0	2016-04-14	2016-10-21	3.0	2017-10-21	2017-06-22	2017-10-21	2017-10-24	2017-10-24	2018-02-24	22.0	2017-10-21	2017-10-24		60.0	2017-10-21	b'Thailand'	b'N/A'
78	118019.0	2016-04-14	2016-09-30	0.0	2016-09-30	2016-05-31	2016-09-30	2016-09-30	2016-09-30	2017-01-30	26.0	2016-09-30	2016-09-30		28.0	2016-09-30	b'Thailand'	b'N/A'
79	118019.0	2016-04-14	2016-09-30	1.0	2017-01-30	2016-10-01	2017-01-30	2017-01-31	2017-01-31	2017-05-31	26.0	2017-01-30	2017-01-31		29.0	2017-01-30	b'Thailand'	b'N/A'
80	118019.0	2016-04-14	2016-09-30	2.0	2017-05-30	2017-01-31	2017-05-30	2017-05-30	2017-05-30	2017-09-30	27.0	2017-05-30	2017-05-30		34.0	2017-05-30	b'Thailand'	b'N/A'
81	118019.0	2016-04-14	2016-09-30	3.0	2017-09-30	2017-05-31	2017-09-30	2017-10-01	2017-10-01	2018-02-01	21.0	2017-09-30	2017-10-01		32.0	2017-09-30	b'Thailand'	b'N/A'
82	118020.0	2016-04-14	2016-09-30	0.0	2016-09-30	2016-05-31	2016-09-30	2016-09-30	2016-09-30	2017-01-30	30.0	2016-09-30	2016-09-30		115.0	2016-09-30	b'Thailand'	b'N/A'
83	118020.0	2016-04-14	2016-09-30	1.0	2017-01-30	2016-10-01	2017-01-30	2017-01-31	2017-01-31	2017-05-31	30.0	2017-01-30	2017-01-31		207.0	2017-01-30	b'Thailand'	b'N/A'
84	118020.0	2016-04-14	2016-09-30	2.0	2017-05-30	2017-01-31	2017-05-30	2017-05-30	2017-05-30	2017-09-30	30.0	2017-05-30	2017-05-30		217.0	2017-05-30	b'Thailand'	b'N/A'
85	118020.0	2016-04-14	2016-09-30	3.0	2017-09-30	2017-05-31	2017-09-30	2017-10-01	2017-10-01	2018-02-01	29.0	2017-09-30	2017-10-01		239.0	2017-09-30	b'Thailand'	b'N/A'
86	118021.0	2016-04-14	2016-09-24	0.0	2016-09-24	2016-05-25	2016-09-24	2016-09-24	2016-09-24	2017-01-24	30.0	2016-09-24	2016-09-24		49.0	2016-09-24	b'Thailand'	b'N/A'
87	118021.0	2016-04-14	2016-09-24	1.0	2017-01-24	2016-09-25	2017-01-24	2017-01-31	2017-01-31	2017-05-31	30.0	2017-01-24	2017-01-31		59.0	2017-01-24	b'Thailand'	b'N/A'
88	118021.0	2016-04-14	2016-09-24	2.0	2017-05-24	2017-01-25	2017-05-24	2017-05-24	2017-05-24	2017-09-24	30.0	2017-05-24	2017-05-24		62.0	2017-05-24	b'Thailand'	b'N/A'
89	118021.0	2016-04-14	2016-09-24	3.0	2017-09-24	2017-05-25	2017-09-24	2017-09-25	2017-09-25	2018-01-25	22.0	2017-09-24	2017-09-25		66.0	2017-09-24	b'Thailand'	b'N/A'
